Ticker,Company,Sector,Industry,Country,Market Cap,Volume
ADMA,Adma Biologics Inc,Healthcare,Biotechnology,USA,4.49B,"669,414"
ADN,Advent Technologies Holdings Inc,Industrials,Electrical Equipment & Parts,USA,4.78M,"9,442"
ADP,Automatic Data Processing Inc,Technology,Software - Application,USA,122.41B,"546,467"
ADPT,Adaptive Biotechnologies Corp,Healthcare,Biotechnology,USA,1.54B,"342,744"
ADSE,Ads-Tec Energy Plc,Industrials,Electrical Equipment & Parts,Ireland,685.51M,"3,999"
ADSK,Autodesk Inc,Technology,Software - Application,USA,63.84B,"409,580"
ADTN,ADTRAN Holdings Inc,Technology,Communication Equipment,USA,717.09M,"286,473"
ADTX,Aditxt Inc,Healthcare,Biotechnology,USA,2.48M,"116,838"
ADUR,Aduro Clean Technologies Inc,Industrials,Pollution & Treatment Controls,Canada,299.93M,"134,843"
ADUS,Addus HomeCare Corporation,Healthcare,Medical Care Facilities,USA,1.94B,"29,190"
ADV,Advantage Solutions Inc,Communication Services,Advertising Agencies,USA,428.09M,"78,556"
ADVB,Advanced Biomed Inc,Healthcare,Diagnostics & Research,Taiwan,9.41M,"179,859"
ADVM,Adverum Biotechnologies Inc,Healthcare,Biotechnology,USA,48.26M,"64,081"
ADXN,Addex Therapeutics Ltd ADR,Healthcare,Biotechnology,Switzerland,6.61M,232
AEBI,Aebi Schmidt Holding AG,Industrials,Farm & Heavy Construction Machinery,Switzerland,781.43M,"183,717"
AEHL,Antelope Enterprise Holdings Ltd,Industrials,Building Products & Equipment,China,11.69M,"34,306"
AEHR,Aehr Test Systems,Technology,Semiconductor Equipment & Materials,USA,497.39M,"539,985"
AEI,Alset Inc,Real Estate,Real Estate - Development,USA,13.97M,"41,705"
AEIS,Advanced Energy Industries Inc,Industrials,Electrical Equipment & Parts,USA,5.04B,"125,803"
AEMD,Aethlon Medical Inc,Healthcare,Medical Devices,USA,2.98M,"41,211"
AENT,Alliance Entertainment Holding Corporation,Communication Services,Entertainment,USA,240.52M,"46,904"
AEP,American Electric Power Company Inc,Utilities,Utilities - Regulated Electric,USA,60.55B,"1,029,384"
AERT,Aeries Technology Inc,Industrials,Consulting Services,Singapore,41.28M,"2,772"
AEVA,Aeva Technologies Inc,Technology,Software - Infrastructure,USA,847.90M,"1,520,123"
AEYE,AudioEye Inc,Technology,Software - Application,USA,151.62M,"36,141"
AFBI,Affinity Bancshares Inc,Financial,Banks - Regional,USA,119.38M,"1,296"
AFCG,Advanced Flower Capital Inc,Real Estate,REIT - Mortgage,USA,97.16M,"86,036"
AFJK,Aimei Health Technology Co Ltd,Financial,Shell Companies,USA,69.16M,5
